"","go_id","pval","padj","description","full_go","direction"
"53","GO:0050900",1.86880542468175e-05,0.00562263609471231,"leukocyte migration","GO:0050900 leukocyte migration","Upregulated"
"54","GO:0050863",1.95386201099543e-05,0.00576968215320985,"regulation of T cell activation","GO:0050863 regulation of T cell activation","Upregulated"
"55","GO:0031295",2.27839927937433e-05,0.00649207682998026,"T cell costimulation","GO:0031295 T cell costimulation","Upregulated"
"56","GO:0070665",2.27992162598077e-05,0.00649207682998026,"positive regulation of leukocyte proliferation","GO:0070665 positive regulation of leukocyte proliferation","Upregulated"
"57","GO:0031294",2.90367395744909e-05,0.00812315525008476,"lymphocyte costimulation","GO:0031294 lymphocyte costimulation","Upregulated"
"58","GO:0060759",2.95653289118486e-05,0.00812842646255756,"regulation of response to cytokine stimulus","GO:0060759 regulation of response to cytokine stimulus","Upregulated"
"59","GO:0010803",3.26555312635083e-05,0.00877841661830757,"regulation of tumor necrosis factor-mediated signaling pathway","GO:0010803 regulation of tumor necrosis factor-mediated signaling pathway","Upregulated"
"60","GO:0022409",3.3030540392478e-05,0.00877841661830757,"positive regulation of cell-cell adhesion","GO:0022409 positive regulation of cell-cell adhesion","Upregulated"
"61","GO:0002429",3.77307838388068e-05,0.00964449953465641,"immune response-activating cell surface receptor signaling pathway","GO:0002429 immune response-activating cell surface receptor signaling pathway","Upregulated"
"62","GO:0002757",3.77307838388068e-05,0.00964449953465641,"immune response-activating signal transduction","GO:0002757 immune response-activating signal transduction","Upregulated"
"63","GO:0030097",3.81038173011008e-05,0.00964449953465641,"hemopoiesis","GO:0030097 hemopoiesis","Upregulated"
"64","GO:0001816",4.21504168187013e-05,0.0103993380036682,"cytokine production","GO:0001816 cytokine production","Upregulated"
"65","GO:0006950",4.23903781662132e-05,0.0103993380036682,"response to stress","GO:0006950 response to stress","Upregulated"
"66","GO:0038083",4.40083585054291e-05,0.010632686132236,"peptidyl-tyrosine autophosphorylation","GO:0038083 peptidyl-tyrosine autophosphorylation","Upregulated"
"67","GO:0044419",4.47521235109203e-05,0.010651005395599,"interspecies interaction between organisms","GO:0044419 interspecies interaction between organisms","Upregulated"
"68","GO:0007159",4.63596808660316e-05,0.0108713451630844,"leukocyte cell-cell adhesion","GO:0007159 leukocyte cell-cell adhesion","Upregulated"
"69","GO:0007154",4.78973623620368e-05,0.0110691498583339,"cell communication","GO:0007154 cell communication","Upregulated"
"70","GO:0051345",5.36500616583586e-05,0.0122214840457741,"positive regulation of hydrolase activity","GO:0051345 positive regulation of hydrolase activity","Upregulated"
"71","GO:0010942",5.52175148798966e-05,0.0122291457260393,"positive regulation of cell death","GO:0010942 positive regulation of cell death","Upregulated"
"72","GO:0050671",5.46812735896776e-05,0.0122291457260393,"positive regulation of lymphocyte proliferation","GO:0050671 positive regulation of lymphocyte proliferation","Upregulated"
"73","GO:0007165",5.68769878212208e-05,0.0124241157232491,"signal transduction","GO:0007165 signal transduction","Upregulated"
"74","GO:0001819",5.9058564965631e-05,0.0127263226613777,"positive regulation of cytokine production","GO:0001819 positive regulation of cytokine production","Upregulated"
"75","GO:0009605",6.0365796992072e-05,0.0128345733178077,"response to external stimulus","GO:0009605 response to external stimulus","Upregulated"
"76","GO:0018108",6.58382120863214e-05,0.0138138964464274,"peptidyl-tyrosine phosphorylation","GO:0018108 peptidyl-tyrosine phosphorylation","Upregulated"
"77","GO:0023052",6.85287478545217e-05,0.0141916806920546,"signaling","GO:0023052 signaling","Upregulated"
"78","GO:0018212",7.29440392151869e-05,0.014912380119556,"peptidyl-tyrosine modification","GO:0018212 peptidyl-tyrosine modification","Upregulated"
"79","GO:0048534",8.61102471614401e-05,0.0173811898890674,"hematopoietic or lymphoid organ development","GO:0048534 hematopoietic or lymphoid organ development","Upregulated"
"80","GO:0048583",9.14276774348584e-05,0.0179988363503241,"regulation of response to stimulus","GO:0048583 regulation of response to stimulus","Upregulated"
"81","GO:1902531",9.08750734981882e-05,0.0179988363503241,"regulation of intracellular signal transduction","GO:1902531 regulation of intracellular signal transduction","Upregulated"
"82","GO:0002768",0.000104876456136229,0.0203946337749793,"immune response-regulating cell surface receptor signaling pathway","GO:0002768 immune response-regulating cell surface receptor signaling pathway","Upregulated"
"83","GO:0097696",0.000113030596164821,0.0217154926077619,"receptor signaling pathway via STAT","GO:0097696 receptor signaling pathway via STAT","Upregulated"
"84","GO:0002764",0.000114444764873746,0.0217254311985328,"immune response-regulating signaling pathway","GO:0002764 immune response-regulating signaling pathway","Upregulated"
"85","GO:0007166",0.000122390854975792,0.0229605243934587,"cell surface receptor signaling pathway","GO:0007166 cell surface receptor signaling pathway","Upregulated"
"86","GO:0042127",0.000128130131343755,0.0236811976622869,"regulation of cell population proliferation","GO:0042127 regulation of cell population proliferation","Upregulated"
"87","GO:0050853",0.000129202570965694,0.0236811976622869,"B cell receptor signaling pathway","GO:0050853 B cell receptor signaling pathway","Upregulated"
"88","GO:1902105",0.000152424240664744,0.0276199652459091,"regulation of leukocyte differentiation","GO:1902105 regulation of leukocyte differentiation","Upregulated"
"89","GO:0045655",0.000162901186015636,0.0288624701356148,"regulation of monocyte differentiation","GO:0045655 regulation of monocyte differentiation","Upregulated"
"90","GO:0048584",0.000162067807987252,0.0288624701356148,"positive regulation of response to stimulus","GO:0048584 positive regulation of response to stimulus","Upregulated"
"91","GO:0010647",0.000180400253484945,0.0316116751875927,"positive regulation of cell communication","GO:0010647 positive regulation of cell communication","Upregulated"
"92","GO:0050790",0.000182401327865234,0.0316149084145546,"regulation of catalytic activity","GO:0050790 regulation of catalytic activity","Upregulated"
"93","GO:0016310",0.000185282437009893,0.0317689649522555,"phosphorylation","GO:0016310 phosphorylation","Upregulated"
"94","GO:0046640",0.000190233409554542,0.0322708717952844,"regulation of alpha-beta T cell proliferation","GO:0046640 regulation of alpha-beta T cell proliferation","Upregulated"
"95","GO:1902107",0.000195670263615466,0.0328437686696024,"positive regulation of leukocyte differentiation","GO:1902107 positive regulation of leukocyte differentiation","Upregulated"
"96","GO:0023056",0.000197925891769269,0.0328763153140913,"positive regulation of signaling","GO:0023056 positive regulation of signaling","Upregulated"
"97","GO:0002520",0.000239899697567864,0.0394375317259502,"immune system development","GO:0002520 immune system development","Upregulated"
"98","GO:0043065",0.000247003223600802,0.0401909530973305,"positive regulation of apoptotic process","GO:0043065 positive regulation of apoptotic process","Upregulated"
"99","GO:0052199",0.000253944030213892,0.0409029445029366,"negative regulation of catalytic activity in other organism involved in symbiotic interaction","GO:0052199 negative regulation of catalytic activity in other organism involved in symbiotic interaction","Upregulated"
"100","GO:0043068",0.000288465016986247,0.0450966976555166,"positive regulation of programmed cell death","GO:0043068 positive regulation of programmed cell death","Upregulated"
"101","GO:0046633",0.000286603265401261,0.0450966976555166,"alpha-beta T cell proliferation","GO:0046633 alpha-beta T cell proliferation","Upregulated"
"102","GO:0050672",0.000287356329278073,0.0450966976555166,"negative regulation of lymphocyte proliferation","GO:0050672 negative regulation of lymphocyte proliferation","Upregulated"
"103","GO:0071310",0.000292185078493043,0.0452347889480588,"cellular response to organic substance","GO:0071310 cellular response to organic substance","Upregulated"
"104","GO:0008283",0.000309935067523326,0.0466823983186142,"cell population proliferation","GO:0008283 cell population proliferation","Upregulated"
"105","GO:0032945",0.000310318212829117,0.0466823983186142,"negative regulation of mononuclear cell proliferation","GO:0032945 negative regulation of mononuclear cell proliferation","Upregulated"
"106","GO:0046641",0.000306826979001528,0.0466823983186142,"positive regulation of alpha-beta T cell proliferation","GO:0046641 positive regulation of alpha-beta T cell proliferation","Upregulated"
"107","GO:0032732",0.000315858123117716,0.0470717161797673,"positive regulation of interleukin-1 production","GO:0032732 positive regulation of interleukin-1 production","Upregulated"
"108","GO:0055114",2.65062747664563e-08,0.000422669057425912,"oxidation-reduction process","GO:0055114 oxidation-reduction process","Downregulated"
"109","GO:0051179",4.11026596262425e-06,0.0327711505200031,"localization","GO:0051179 localization","Downregulated"
