"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign","gene_name"
"ENSG00000265205",9.60806541909121,6.46607575432602,1.17108031152465,5.5214622692339,3.36190011683774e-08,3.88579621837829e-05,"Upregulated","AC010761.3"
"ENSG00000274471",9.0771987423785,6.39110517996156,1.18476551005797,5.39440515925285,6.87509285815254e-08,6.81125271018398e-05,"Upregulated","AC242376.2"
"ENSG00000274376",8.0543121977592,6.33768698077277,1.46082104762562,4.33844172157423,1.43496524115435e-05,0.0027643010965015,"Upregulated","ADAMTS7P1"
"ENSG00000136573",15.842483414337,6.28573302293867,1.24527890353608,5.04765077533217,4.47275759528669e-07,0.000232639304424849,"Upregulated","BLK"
"ENSG00000144290",12.5453181791088,6.13157513904986,1.29828540131057,4.72282529932189,2.32590637463899e-06,0.00074446895575945,"Upregulated","SLC4A10"
"ENSG00000111536",8.00534870128621,6.08163046767846,1.60325868707314,3.79329331985776,0.000148662374096836,0.0135654416363363,"Upregulated","IL26"
"ENSG00000121594",8.46098311157359,6.02580834429751,1.52909589227538,3.94076550381073,8.12219965590071e-05,0.00944035552184437,"Upregulated","CD80"
"ENSG00000137270",7.06406813968184,5.91024699199868,1.61344139187637,3.66313088393331,0.000249151149092111,0.0187811219451499,"Upregulated","GCM1"
"ENSG00000147138",7.74024202285981,5.82433728827294,1.4905810743003,3.90742737090431,9.32840692220499e-05,0.0102038983819911,"Upregulated","GPR174"
"ENSG00000163017",10.3778771212252,5.81990018514773,1.64558309309993,3.5366796180339,0.000405190870261362,0.0257798044519499,"Upregulated","ACTG2"
"ENSG00000256553",5.53308451389206,5.79543381631783,1.69248270970219,3.42422039710976,0.000616565948697557,0.0324750748421586,"Upregulated","TRAV1-2"
"ENSG00000205359",6.57765371183243,5.79088545170524,1.47332166903211,3.93049635624346,8.4770678321109e-05,0.00974394454403687,"Upregulated","SLCO6A1"
"ENSG00000138347",9.78055521499195,5.65519463446931,1.33651942901295,4.23128501666885,2.32360014627312e-05,0.00374748070102421,"Upregulated","MYPN"
"ENSG00000243175",5.54378878930232,5.64356680983973,1.54616506051377,3.65004161196377,0.000262197829167013,0.0194129033303192,"Upregulated","RPSAP36"
"ENSG00000034053",13.0389075187617,5.59955551010641,1.05873821306555,5.2888952538069,1.23057332343714e-07,9.84695307465756e-05,"Upregulated","APBA2"
"ENSG00000267369",5.7120242972121,5.57068282789398,1.46533912068253,3.80163386704592,0.000143745038793354,0.0134108319824921,"Upregulated","AC015911.7"
"ENSG00000177257",8.42792255677802,5.55922744379986,1.7129590492547,3.24539424700122,0.00117288119377789,0.0482248878192667,"Upregulated","DEFB4B"
"ENSG00000164743",6.61183888753808,5.55717053107128,1.60845376440653,3.45497685668428,0.000550340060374683,0.0302285131235734,"Upregulated","C8orf48"
"ENSG00000260051",6.31183988484947,5.51618775368881,1.44078692424004,3.82859370867653,0.00012887756003482,0.0125882518146686,"Upregulated","AL031600.1"
"ENSG00000219395",4.6880025939157,5.49239039095972,1.44613845490308,3.79796994702547,0.000145886006218763,0.0134714231589349,"Upregulated","HSPA8P15"
"ENSG00000226800",4.2438693104533,5.41351610562152,1.54324242398837,3.50788445254814,0.000451685187417657,0.0268494580692124,"Upregulated","CACTIN-AS1"
