"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sign","gene_name"
"ENSG00000156076",12.3339488709381,5.47737460742215,1.57899065423395,3.46890882015987,0.000522576777498254,0.00851337586825766,"Upregulated","WIF1"
"ENSG00000228695",15.4828722115646,4.96484336445588,1.50161525771156,3.30633518736499,0.000945249397163643,0.0124743835828765,"Upregulated","CES1P1"
"ENSG00000166111",9.73593546166665,4.64956913914612,1.28634896942488,3.61454725712955,0.000300872934630369,0.00586171050385374,"Upregulated","SVOP"
"ENSG00000110169",11.4190611633745,3.80365820545885,0.968238406690985,3.92843144743462,8.55017156748817e-05,0.00260082878389764,"Upregulated","HPX"
"ENSG00000198838",26.5846656577881,3.74522368890261,1.02405703394886,3.65724131053589,0.0002549443459703,0.00527455600030543,"Upregulated","RYR3"
"ENSG00000004848",13.8214396297078,3.55474077747087,1.30694599366045,2.71988344944145,0.00653049297351761,0.0425188377433276,"Upregulated","ARX"
"ENSG00000203799",18.1340844050025,3.44625386951301,0.772159602811513,4.46313671029259,8.07684838478058e-06,0.000599854592594353,"Upregulated","CCDC162P"
"ENSG00000150627",15.1531563097594,3.39474203416619,1.0477484071697,3.24003549987393,0.00119514819104173,0.0146047479590278,"Upregulated","WDR17"
"ENSG00000089847",11.475404872486,3.22859852261812,1.01587586510751,3.17814275691691,0.00148221751296024,0.0166747040343252,"Upregulated","ANKRD24"
"ENSG00000102001",11.3985603632671,3.22458343177341,0.949951565034529,3.39447141355697,0.000687612182051102,0.0100876463385581,"Upregulated","CACNA1F"
"ENSG00000275678",26.0219336816412,3.16964481483878,1.10252132592797,2.87490567329476,0.00404148217078867,0.0312745458376411,"Upregulated","AL133320.2"
"ENSG00000185274",23.7649081864848,3.16899294725706,1.02537145585936,3.09058042248811,0.00199765698252039,0.0202193529157049,"Upregulated","GALNT17"
"ENSG00000142959",32.9659843539926,3.11852701551907,0.803355520716235,3.88187662261751,0.000103653465487916,0.00290568440181484,"Upregulated","BEST4"
"ENSG00000124678",11.4516495625972,3.11241055323346,1.01290735026111,3.07274949918285,0.0021209644819524,0.0210041411827258,"Upregulated","TCP11"
"ENSG00000169515",24.6064132715326,3.10185262811516,0.994063984977507,3.12037522231061,0.00180620802277064,0.0188831839358032,"Upregulated","CCDC8"
"ENSG00000110900",26.1608830876075,3.02808035040687,1.00671793365277,3.00787365475828,0.00263082488117732,0.024005401563206,"Upregulated","TSPAN11"
"ENSG00000215252",34.0224937856828,3.02542379765794,0.612735701958647,4.93756735242778,7.91030910752438e-07,0.000165699193067969,"Upregulated","GOLGA8B"
"ENSG00000122420",172.236865494442,2.9404578257747,0.824143950280221,3.56789347877261,0.000359862735214553,0.00664564594762204,"Upregulated","PTGFR"
"ENSG00000231057",26.5121777839415,2.92886153936923,1.02232008755006,2.86491635549106,0.00417119405302762,0.0319664027647776,"Upregulated","AC096637.3"
"ENSG00000224479",18.129528449292,2.88764517946669,1.02163989734838,2.82648043303853,0.00470626192283142,0.034608070959321,"Upregulated","AC104162.1"
"ENSG00000137860",81.5344811365909,2.87991121076239,0.938781941659922,3.06771049054291,0.00215705485282191,0.0211344563420975,"Upregulated","SLC28A2"
"ENSG00000170324",85.7750891945977,2.84975293943856,0.795829393463569,3.58085911734926,0.000342466285919437,0.00637931769949387,"Upregulated","FRMPD2"
"ENSG00000171931",8.7289596378194,2.8037161165119,0.997328906468421,2.81122516185755,0.00493532349136072,0.0356807458144899,"Upregulated","FBXW10"
"ENSG00000186094",15.3479968311769,2.79897969799477,0.951596797886378,2.94135047975327,0.00326784562356727,0.027280639772493,"Upregulated","AGBL4"
"ENSG00000235899",11.8479002043183,2.77094742639349,0.914021113164715,3.03160111564528,0.00243260429315892,0.0228271936047572,"Upregulated","LINC01564"
"ENSG00000184613",219.220796657629,2.7681934954112,0.862181850588693,3.21068402625396,0.001324194506086,0.0156029402104474,"Upregulated","NELL2"
"ENSG00000109182",151.786120408686,2.76748385652547,0.814029056466149,3.39973596094915,0.000674509531473913,0.00999143809449706,"Upregulated","CWH43"
"ENSG00000144821",9.56750208284878,2.75732650323525,1.04299297043613,2.64366738932313,0.0082013202939588,0.0492481102426172,"Upregulated","MYH15"
"ENSG00000185513",27.6403227420737,2.73425230897412,0.792881166140445,3.44850202746498,0.000563705237943791,0.00890832623922692,"Upregulated","L3MBTL1"
"ENSG00000261286",8.72245350806429,2.73361491608268,0.771654711701162,3.54253641509717,0.000396298702821478,0.00711926758702123,"Upregulated","ATP2C2-AS1"
"ENSG00000101194",46.4867605139129,2.72601243411587,0.705045079441745,3.86643707417166,0.000110436941938055,0.00302660730972726,"Upregulated","SLC17A9"
"ENSG00000171815",17.5400173883875,2.61943084096098,0.963635451486079,2.71827986083472,0.00656223070004897,0.0426768877521001,"Upregulated","PCDHB1"
"ENSG00000108813",8.86221085760245,2.57652538276536,0.905835613018607,2.84436308943445,0.00445003056767993,0.0333092165877474,"Upregulated","DLX4"
"ENSG00000197893",14.3077827697607,2.56624501934021,0.968570922089716,2.6495168921688,0.00806069425218805,0.0486643840492728,"Upregulated","NRAP"
"ENSG00000179930",26.6598629769523,2.54823148003403,0.807732475810035,3.15479636680268,0.00160610162395725,0.0174283867556044,"Upregulated","ZNF648"
"ENSG00000099864",15.8681555189691,2.54377032643032,0.890057694362019,2.8579836369525,0.00426342376203252,0.0324330951875091,"Upregulated","PALM"
"ENSG00000204149",16.4095241391011,2.53918031062134,0.706949255713131,3.59174338200549,0.000328473214821694,0.00623372397508959,"Upregulated","AGAP6"
"ENSG00000172955",72.2168166979316,2.53106313388956,0.757613856733166,3.34083532315989,0.000835267490785594,0.0114354508599509,"Upregulated","ADH6"
"ENSG00000153132",21.3977237740368,2.49348817775393,0.817020642939368,3.05192800121082,0.00227376632758408,0.0218291746592236,"Upregulated","CLGN"
"ENSG00000163885",114.879255446601,2.49311767259959,0.91620341477124,2.72113990452882,0.00650572214260108,0.042421957080374,"Upregulated","CFAP100"
"ENSG00000082196",9.42945444331151,2.48950149368441,0.811082933820651,3.06935504358041,0.00214521481479684,0.0211028127079442,"Upregulated","C1QTNF3"
"ENSG00000205209",8.77058176978574,2.45210111199929,0.930041796321746,2.636549369821,0.00837540115829563,0.0498917993999027,"Upregulated","SCGB2B2"
"ENSG00000080947",17.6278469579481,2.44123963225957,0.694639776657059,3.5143965466648,0.000440754313880063,0.00758433401095924,"Upregulated","CROCCP3"
"ENSG00000269516",19.4100079729232,2.42519333168344,0.658516125410221,3.68281540588345,0.000230672197090679,0.00495295646218734,"Upregulated","CYP4F23P"
"ENSG00000278912",22.5084781924333,2.42508180073431,0.729274062845681,3.32533669341188,0.000883118181481476,0.0118732870833733,"Upregulated","AC008870.5"
"ENSG00000022267",46.288065972868,2.4168796324819,0.828044230206333,2.91878083840964,0.00351403184013303,0.0284237294904867,"Upregulated","FHL1"
"ENSG00000131711",104.807379182766,2.39900927628794,0.800308021952904,2.99760743424001,0.00272107931150056,0.0244668955283562,"Upregulated","MAP1B"
"ENSG00000158163",100.688724636251,2.38875511245967,0.86270225249777,2.76892184475413,0.00562421248183356,0.0384545709365029,"Upregulated","DZIP1L"
"ENSG00000145736",9.73150921269635,2.36826476070995,0.749038965827771,3.16173773161821,0.00156830744929789,0.017126596180875,"Upregulated","GTF2H2"
"ENSG00000204128",38.9083067470143,2.33436411595225,0.781638372087443,2.98650142996192,0.0028218951852783,0.0251009669426684,"Upregulated","C2orf72"
